,embedding1,embedding2
274,59.864998,12.926406
275,-22.746859,-0.9176272
276,-65.61714,13.583288
277,53.82003,13.040445
278,40.07056,25.652016
279,-22.475323,57.91326
280,-34.736687,-8.5902
281,-19.206861,-16.858526
282,-1.6411428,-1.6906936
283,-16.896969,39.87722
284,59.948414,-36.266403
285,43.469826,-46.557877
286,48.576145,-25.90478
287,-22.568172,12.838291
288,22.16284,32.95705
289,4.6002645,-5.874979
290,15.336197,-79.097824
291,39.524197,-69.62764
292,61.3346,-4.612343
293,-13.105957,3.5907624
294,-60.203384,-42.038395
295,4.426302,-14.938408
296,45.534477,16.618511
297,59.96501,35.140503
298,23.410727,2.9911292
299,47.617393,16.651804
300,-19.01592,-43.340263
301,-41.647,48.335392
302,-46.82498,-30.649677
303,-61.37451,17.516413
304,75.40148,-7.8593874
305,5.7316937,27.601166
306,-33.07357,7.305586
307,13.998613,-79.62172
308,11.197494,-22.888657
309,32.1639,63.79846
310,-58.259422,16.710228
311,-58.08638,14.107586
312,-13.8991165,-80.54839
313,-52.08081,-10.929993
314,-45.843,65.24574
315,-39.52058,33.94067
316,36.134487,-76.029465
317,-54.224377,52.993324
318,-29.142595,-43.955334
319,-39.306065,-37.624157
320,77.56041,4.4765463
321,3.7656121,60.04524
322,26.514793,12.25124
323,-50.14066,6.852805
324,6.2341824,-27.21967
325,2.8017015,-17.89393
326,-5.839104,45.19118
327,-40.76474,16.550045
328,5.2900085,82.93347
329,-67.483635,39.2153
330,54.255127,-29.24398
331,-50.50178,56.81425
332,-72.62194,-6.3255477
333,22.210264,72.02807
334,43.87678,1.0190454
335,42.215572,-36.270844
336,-43.048855,-40.409794
337,-33.169285,-37.329422
338,-6.365991,-18.272911
339,-11.614723,31.492182
340,42.453495,64.88458
341,-7.278197,15.717182
342,16.612095,1.0448729
343,53.861237,-62.899544
344,-21.542976,-37.067112
345,49.261944,34.14966
346,-4.3462977,-3.6558588
347,-3.0996284,27.516169
348,47.584843,-9.4095
349,14.134022,19.170961
350,-68.439896,-19.03528
351,10.473921,-37.938877
352,0.10283457,50.687084
353,9.754889,-20.812813
354,-2.0483868,40.23414
355,6.955211,-5.986599
356,-34.839703,-14.266898
357,-58.030735,-50.305782
358,-12.454091,-42.63246
359,9.7471285,32.8302
360,70.41496,-29.503216
361,-61.191288,-7.7710104
362,-79.94415,-17.330677
363,-33.520947,-70.222824
364,17.146898,-20.267427
365,-1.7117122,-51.53599
366,-25.518208,-5.775135
367,39.720104,7.243163
368,31.906147,69.62102
369,80.4159,-6.251892
370,23.555548,-48.484
371,43.501953,-16.645184
372,12.339092,41.04556
373,75.97757,-6.463684
374,-39.05115,-2.502598
375,76.56149,-20.888062
376,-29.851059,-57.541176
377,-21.218506,68.68305
378,31.380896,24.416124
379,-9.27558,-0.90929013
380,-30.010798,30.27879
381,12.039499,39.525677
382,66.49626,25.168318
383,14.698341,65.932655
384,-9.893407,-13.611168
385,53.985874,44.9167
386,4.9066424,16.00912
387,-38.427624,-50.232788
388,-28.071825,13.681169
389,-3.1754355,68.734375
390,-39.141445,-52.21594
391,54.258846,4.4934425
392,60.49277,9.762077
393,-42.129868,-52.927673
394,38.17549,-18.172384
395,-26.489801,4.9409227
396,-33.598957,-53.880672
397,58.32558,2.3541315
398,-40.928734,-26.204248
399,3.1094515,-26.754213
400,-12.531432,-60.10059
401,62.54069,7.71041
402,7.0966616,-11.743545
403,3.2123785,-72.78946
404,-39.414684,-26.06686
405,25.320911,18.597149
406,41.333927,1.6996027
407,53.46522,44.99146
408,-5.6141624,-23.313393
409,-23.168232,7.1795955
410,47.699795,16.8896
411,-52.069817,21.551107
412,-3.3705368,1.4939114
413,8.115167,1.7405095
414,6.1520376,-12.557018
415,-11.232042,-63.146606
416,-16.757221,-9.069759
417,-52.529716,-13.91199
418,33.3799,-53.381973
419,-16.09548,12.965275
420,38.688206,25.488575
421,10.73974,51.60565
422,29.056198,-12.362676
423,-63.85597,28.109337
424,-40.111378,13.161809
425,-7.8667684,27.786427
426,-61.633327,10.620131
427,55.218193,27.747612
428,42.79698,-22.641973
429,1.021471,-62.678623
430,-8.894931,43.338543
431,-8.964378,-76.48829
432,-12.624272,44.999023
433,17.118559,-74.312454
